#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RP20_CCG010133	RP20_CCG028043	7160.A0A182GHS1	7160.A0A182HEP5	0	0	0	0	0.042	0.321	0	0.255	0.473
RP20_CCG010133	RP20_CCG021775	7160.A0A182GHS1	7160.A0A182H4X0	0	0	0	0	0.245	0.299	0.086	0.132	0.523
RP20_CCG010182	RP20_CCG025494	7160.A0A182GHU5	7160.A0A023EPY3	0	0	0	0	0.069	0	0	0.383	0.401
RP20_CCG010182	RP20_CCG012000	7160.A0A182GHU5	7160.A0A182GLI1	0	0	0	0	0.042	0	0.650	0	0.650
RP20_CCG010259	RP20_CCG013225	7160.A0A182GI06	7160.A0A182GP17	0	0	0	0	0	0.236	0.397	0.114	0.556
RP20_CCG010259	RP20_CCG022841	7160.A0A182GI06	7160.A0A182H6P5	0	0	0	0	0.100	0.053	0.418	0.259	0.583
RP20_CCG010314	RP20_CCG015609	7160.A0A023EFS1	7160.A0A182GTQ3	0	0	0	0	0	0	0.555	0.048	0.558
RP20_CCG010352	RP20_CCG014064	7160.A0A182GI84	7160.A0A182GQQ4	0	0	0.411	0	0	0	0	0	0.411
RP20_CCG010567	RP20_CCG016093	7160.A0A182GIN2	7160.A0A023EKS2	0	0	0	0	0	0	0.662	0.096	0.681
RP20_CCG010567	RP20_CCG024597	7160.A0A182GIN2	7160.A0A182H9C6	0	0	0	0	0.116	0	0	0.434	0.478
RP20_CCG010567	RP20_CCG020338	7160.A0A182GIN2	7160.A0A182H2D7	0	0	0	0	0	0	0	0.563	0.563
RP20_CCG010567	RP20_CCG020979	7160.A0A182GIN2	7160.A0A182H3K3	0	0	0	0	0	0	0.505	0.299	0.638
RP20_CCG010567	RP20_CCG012454	7160.A0A182GIN2	7160.A0A182GMD7	0	0	0	0	0	0.119	0.650	0.517	0.838
RP20_CCG010567	RP20_CCG027115	7160.A0A182GIN2	7160.A0A182HDC1	0	0	0	0	0	0.540	0.656	0.594	0.930
RP20_CCG010567	RP20_CCG011270	7160.A0A182GIN2	7160.A0A182GK16	0	0	0	0	0	0.960	0.617	0.593	0.993
RP20_CCG010658	RP20_CCG021652	7160.A0A182GIV3	7160.A0A182H4Q0	0	0	0.468	0	0	0	0	0	0.468
RP20_CCG010956	RP20_CCG023467	7160.A0A182GJD7	7160.A0A023EID3	0	0	0	0	0	0.599	0	0.434	0.763
RP20_CCG010956	RP20_CCG015568	7160.A0A182GJD7	7160.A0A182GTM7	0	0	0	0	0.042	0.071	0	0.453	0.470
RP20_CCG011177	RP20_CCG021652	7160.A0A182GJU2	7160.A0A182H4Q0	0	0	0.481	0	0	0	0	0	0.481
