"X.node","identifier","uniprot_id","id","protein_name","node_degree"
"RP20_CCG011874","7160.A0A023EQV8","A0A023EQV8","aalb:109402735","DNAJB5",8
"RP20_CCG011899","7160.A0A182GLB9","A0A182GLB9","aalb:109417539","QKI",4
"RP20_CCG012000","7160.A0A182GLI1","A0A182GLI1","aalb:109424170","A0A182GLI1",1
"RP20_CCG012009","7160.A0A182GLJ0","A0A182GLJ0","aalb:109429626","Hr39",1
"RP20_CCG012060","7160.A0A182GLN0","A0A182GLN0","aalb:109419419","A0A182GLN0",0
"RP20_CCG012145","7160.A0A182GLU1","A0A182GLU1","aalb:109399616","A0A182GLU1",1
"RP20_CCG012161","7160.A0A182GLV4","A0A182GLV4","aalb:109407831","CDC27",3
"RP20_CCG012242","7160.A0A182GM05","A0A182GM05","aalb:109401226","ID2",0
"RP20_CCG012262","7160.A0A023EGI5","A0A023EGI5","aalb:109407955","CCDC58",0
"RP20_CCG012281","7160.A0A182GM34","A0A182GM34","aalb:109397818","DCAF7",2
"RP20_CCG012359","7160.A0A182GM81","A0A182GM81","aalb:115260401","A0A182GM81",0
"RP20_CCG012416","7160.A0A182GMC1","A0A182GMC1","aalb:109421520","A0A182GMC1",7
"RP20_CCG012679","7160.A0A182GMV2","A0A182GMV2","aalb:109621434","A0A182GMV2",1
"RP20_CCG012680","7160.A0A182GMV3","A0A182GMV3","aalb:109621450","SAP130",0
"RP20_CCG012705","7160.A0A182GMX7","A0A182GMX7","aalb:115266217","A0A182GMX7",2
"RP20_CCG012728","7160.A0A182GMZ4","A0A182GMZ4","aalb:109418764","A0A182GMZ4",2
"RP20_CCG012769","7160.A0A182GN25","A0A182GN25","aalb:109408663","A0A182GN25",1
"RP20_CCG013111","7160.A0A023EFH1","A0A023EFH1","aalb:115259321","A0A023EFH1",1
"RP20_CCG013127","7160.A0A182GNU5","A0A182GNU5","aalb:115257750","A0A182GNU5",1
"RP20_CCG013130","7160.A0A182GNU8","A0A182GNU8","aalb:109402498","YIPF6",0
"RP20_CCG013219","7160.A0A182GP12","A0A182GP12","aalb:109398471","METAP1",7
"RP20_CCG013225","7160.A0A182GP17","A0A182GP17","aalb:109412544","A0A182GP17",20
"RP20_CCG013505","7160.A0A182GPM1","A0A182GPM1","aalb:109429511","A0A182GPM1",1
"RP20_CCG013528","7160.A0A182GPN4","A0A182GPN4","aalb:109397187","LRBA",0
"RP20_CCG013576","7160.A0A182GPS6","A0A182GPS6","aalb:115260552","A0A182GPS6",0
"RP20_CCG013614","7160.A0A182GPU8","A0A182GPU8","aalb:109402629","NOTCH1",3
"RP20_CCG013710","7160.A0A182GQ07","A0A182GQ07","aalb:115258424","A0A182GQ07",1
"RP20_CCG013827","7160.A0A182GQ91","A0A182GQ91","aalb:109420822","TMEM134",0
"RP20_CCG014045","7160.A0A182GQP1","A0A182GQP1","aalb:115256420","A0A182GQP1",1
"RP20_CCG014061","7160.A0A182GQQ1","A0A182GQQ1","aalb:109427500","A0A182GQQ1",0
"RP20_CCG014302","7160.A0A182GR85","A0A182GR85","aalb:109416570","A0A182GR85",1
"RP20_CCG014445","7160.A0A182GRH9","A0A182GRH9","aalb:109429859","NINL",0
"RP20_CCG014586","7160.A0A182GRR4","A0A182GRR4","aalb:109420963","A0A182GRR4",0
"RP20_CCG014643","7160.A0A182GRU6","A0A182GRU6","aalb:109423164","A0A182GRU6",1
"RP20_CCG014756","7160.A0A023EQ67","A0A023EQ67","aalb:109427860","ABHD13",2
"RP20_CCG015087","7160.A0A182GSS4","A0A182GSS4","aalb:115259649","SEC23A",5
"RP20_CCG015370","7160.A0A182GTA2","A0A182GTA2","aalb:109408284","A0A182GTA2",0
"RP20_CCG015560","7160.A0A182GTM1","A0A182GTM1","aalb:115262185","A0A182GTM1",0
"RP20_CCG015580","7160.A0A182GTN3","A0A182GTN3","aalb:115258550","A0A182GTN3",8
"RP20_CCG015582","7160.A0A182GTN5","A0A182GTN5","aalb:109428894","A0A182GTN5",0
"RP20_CCG015594","7160.A0A182GTP3","A0A182GTP3","aalb:109424259","A0A182GTP3",0
"RP20_CCG015609","7160.A0A182GTQ3","A0A182GTQ3","aalb:109397755","gei-8",11
"RP20_CCG015621","7160.A0A182GTR5","A0A182GTR5","aalb:109429872","AKAP10",0
"RP20_CCG015811","7160.A0A182GU57","A0A182GU57","aalb:109432183","A0A182GU57",0
"RP20_CCG015997","7160.A0A182GUI2","A0A182GUI2","aalb:115254244","UPRT",2
"RP20_CCG016093","7160.A0A023EKS2","A0A023EKS2","aalb:109397301","U2AF1",6
"RP20_CCG016099","7160.A0A182GUQ1","A0A182GUQ1","aalb:109397277","A0A182GUQ1",4
"RP20_CCG016160","7160.A0A182GUV3","A0A182GUV3","aalb:109431790","A0A182GUV3",5
"RP20_CCG016161","7160.A0A182GUV4","A0A182GUV4","aalb:109431857","A0A182GUV4",1
"RP20_CCG016191","7160.A0A182GUX7","A0A182GUX7","aalb:115270041","DHX8",7
"RP20_CCG016231","7160.A0A182GV08","A0A182GV08","aalb:109397190","TMEM205",0
"RP20_CCG016238","7160.A0A182GV15","A0A182GV15","aalb:109402134","A0A182GV15",5
