"uniprot_id","mirna/enriched_term"
"Q16L96","Cell differentiation"
"Q16LK0","aae-mir-34-5p"
"Q16LK0","Cell differentiation"
"Q16LX7","aae-mir-34-5p"
"Q16LX7","Cell differentiation"
"Q16MK4","aae-mir-34-5p"
"Q16MK4","Cell differentiation"
"Q16N83","aae-mir-34-5p"
"Q16N83","Cell differentiation"
"Q16N85","aae-mir-34-5p"
"Q16N85","Cell differentiation"
"Q16NB0","aae-mir-34-5p"
"Q16NB0","Cell differentiation"
"Q16NC7","aae-mir-34-5p"
"Q16NC7","Cell differentiation"
"Q16PP6","aae-mir-34-5p"
"Q16PP6","Cell differentiation"
"Q16PT5","aae-mir-34-5p"
"Q16PT5","Cell differentiation"
"Q16R23","aae-mir-34-5p"
"Q16R23","Cell differentiation"
"Q16R65","aae-mir-34-5p"
"Q16R65","Cell differentiation"
"Q16RM1","aae-mir-34-5p"
"Q16RM1","Cell differentiation"
"Q16RU6","aae-mir-34-5p"
"Q16RU6","Cell differentiation"
"Q16SB0","aae-mir-34-5p"
"Q16SB0","Cell differentiation"
"Q16TM2","aae-mir-34-5p"
"Q16TM2","Cell differentiation"
"Q16U87","aae-mir-34-5p"
"Q16U87","Cell differentiation"
"Q16U90","aae-mir-34-5p"
"Q16U90","Cell differentiation"
"Q16W03","aae-mir-34-5p"
"Q16W03","Cell differentiation"
"Q16WF1","aae-mir-34-5p"
"Q16WF1","Cell differentiation"
"Q16WM1","aae-mir-34-5p"
"Q16WM1","Cell differentiation"
"Q16XA3","aae-mir-34-5p"
"Q16XA3","Cell differentiation"
"Q16XT3","aae-mir-34-5p"
"Q16XT3","Cell differentiation"
"Q16YG3","aae-mir-34-5p"
"Q16YG3","Cell differentiation"
"Q16YG5","aae-mir-34-5p"
"Q16YG5","Cell differentiation"
"Q16YG8","aae-mir-34-5p"
"Q16YG8","Cell differentiation"
"Q16YZ8","aae-mir-34-5p"
"Q16YZ8","Cell differentiation"
"Q16YZ9","aae-mir-34-5p"
"Q16YZ9","Cell differentiation"
"Q16Z01","aae-mir-34-5p"
"Q16Z01","Cell differentiation"
"Q16ZB6","aae-mir-34-5p"
"Q16ZB6","Cell differentiation"
