"uniprot_id","enriched_term"
"Q16U10","Multicellular organism development"
"Q16U87","Multicellular organism development"
"Q16U90","Multicellular organism development"
"Q16UC4","Multicellular organism development"
"Q16VM1","Multicellular organism development"
"Q16VP6","Multicellular organism development"
"Q16W03","Multicellular organism development"
"Q16WF1","Multicellular organism development"
"Q16WM1","Multicellular organism development"
"Q16WV5","Multicellular organism development"
"Q16XA3","Multicellular organism development"
"Q16XT3","Multicellular organism development"
"Q16Y82","Multicellular organism development"
"Q16YG3","Multicellular organism development"
"Q16YG5","Multicellular organism development"
"Q16YG8","Multicellular organism development"
"Q16YZ8","Multicellular organism development"
"Q16YZ9","Multicellular organism development"
"Q16Z01","Multicellular organism development"
"Q16ZB6","Multicellular organism development"
"Q170K4","Multicellular organism development"
"Q170K8","Multicellular organism development"
"Q170V1","Multicellular organism development"
"Q171J8","Multicellular organism development"
"Q172L3","Multicellular organism development"
"Q173B0","Multicellular organism development"
"Q174K3","Multicellular organism development"
"Q174R8","Multicellular organism development"
"Q174R9","Multicellular organism development"
"Q174W8","Multicellular organism development"
"Q177R3","Multicellular organism development"
"Q177S2","Multicellular organism development"
"Q17A00","Multicellular organism development"
"Q17BK4","Multicellular organism development"
"Q17BN5","Multicellular organism development"
"Q17BY7","Multicellular organism development"
"Q17C29","Multicellular organism development"
"Q17C39","Multicellular organism development"
"Q17C93","Multicellular organism development"
"Q17CG1","Multicellular organism development"
"Q17D24","Multicellular organism development"
"Q17DB6","Multicellular organism development"
"Q17DL2","Multicellular organism development"
"Q17DM5","Multicellular organism development"
"Q17E44","Multicellular organism development"
"Q17EB3","Multicellular organism development"
"Q17EP7","Multicellular organism development"
"Q17F07","Multicellular organism development"
"Q17F08","Multicellular organism development"
"Q17F71","Multicellular organism development"
"Q17G69","Multicellular organism development"
"Q17GF2","Multicellular organism development"
"Q17GI1","Multicellular organism development"
"Q17GP3","Multicellular organism development"
"Q17GP4","Multicellular organism development"
"Q17H75","Multicellular organism development"
"Q17HA9","Multicellular organism development"
"Q17HG6","Multicellular organism development"
"Q17HS6","Multicellular organism development"
"Q17I67","Multicellular organism development"
"Q17IA0","Multicellular organism development"
"Q17IC7","Multicellular organism development"
"Q17IK5","Multicellular organism development"
"Q17IL0","Multicellular organism development"
"Q17J33","Multicellular organism development"
"Q17JY3","Multicellular organism development"
"Q17K20","Multicellular organism development"
"Q17K58","Multicellular organism development"
"Q17K67","Multicellular organism development"
"Q17K68","Multicellular organism development"
"Q17KU1","Multicellular organism development"
"Q17L13","Multicellular organism development"
"Q17L66","Multicellular organism development"
"Q17L67","Multicellular organism development"
"Q17LA6","Multicellular organism development"
"Q17LI9","Multicellular organism development"
"Q17M42","Multicellular organism development"
"Q17MT6","Multicellular organism development"
"Q17MX1","Multicellular organism development"
"Q17MX6","Multicellular organism development"
"Q17MX7","Multicellular organism development"
"Q17N01","Multicellular organism development"
"Q17NC1","Multicellular organism development"
"Q17NE5","Multicellular organism development"
"Q17NJ1","Multicellular organism development"
"Q17NP6","Multicellular organism development"
"Q17PG3","Multicellular organism development"
"Q17PN7","Multicellular organism development"
"Q17PT9","Multicellular organism development"
"Q17PU2","Multicellular organism development"
"Q1HRW3","Multicellular organism development"
"J9EAN8","Nervous system development"
"Q0IE98","Nervous system development"
"Q0IE99","Nervous system development"
"Q0IFC5","Nervous system development"
"Q0IG29","Nervous system development"
"Q16FK4","Nervous system development"
"Q16GL8","Nervous system development"
"Q16HK0","Nervous system development"
"Q16I15","Nervous system development"
"Q16I88","Nervous system development"
"Q16IN4","Nervous system development"
"Q16IW8","Nervous system development"
"Q16L96","Nervous system development"
"Q16LK0","Nervous system development"
"Q16LS6","Nervous system development"
"Q16LU2","Nervous system development"
"Q16LX7","Nervous system development"
"Q16M53","Nervous system development"
"Q16M54","Nervous system development"
"Q16N85","Nervous system development"
"Q16PP6","Nervous system development"
"Q16R23","Nervous system development"
"Q16R65","Nervous system development"
"Q16RU6","Nervous system development"
"Q16SB0","Nervous system development"
"Q16TR7","Nervous system development"
"Q16UC4","Nervous system development"
"Q16VM1","Nervous system development"
"Q16W03","Nervous system development"
"Q16WF1","Nervous system development"
"Q16WM1","Nervous system development"
"Q16XT3","Nervous system development"
"Q16Y82","Nervous system development"
"Q16YG3","Nervous system development"
"Q16YG8","Nervous system development"
"Q16YZ8","Nervous system development"
"Q16YZ9","Nervous system development"
"Q16Z01","Nervous system development"
"Q170K4","Nervous system development"
"Q170K8","Nervous system development"
"Q171J8","Nervous system development"
"Q172L3","Nervous system development"
"Q174K3","Nervous system development"
"Q174W8","Nervous system development"
"Q177R3","Nervous system development"
"Q17BY7","Nervous system development"
"Q17C29","Nervous system development"
"Q17C39","Nervous system development"
"Q17C93","Nervous system development"
"Q17CG1","Nervous system development"
"Q17D24","Nervous system development"
"Q17DM5","Nervous system development"
"Q17E44","Nervous system development"
"Q17EB3","Nervous system development"
"Q17F07","Nervous system development"
"Q17F08","Nervous system development"
"Q17F71","Nervous system development"
